Genotype,Lecanemab_mg_kg,Cromolyn_mg_kg,Final_Atrophy_Percent_mean,Final_Atrophy_Percent_std,Final_Total_Amyloid_mean,Final_Total_Cytokine_mean
APOE4,0.0,0.0,26.4,11.616152547207705,164.27782318383586,16.82417282714184
APOE4,0.0,10.0,29.24,13.098205984026974,321.7620674933647,17.168124293949138
APOE4,0.0,20.0,25.259999999999998,6.8867989661380395,301.27364053593345,19.569066235421683
APOE4,0.0,30.0,24.58,5.221302519486875,142.47572163344094,6.377388256093208
APOE4,0.0,40.0,32.720000000000006,9.32829030423046,527.0036875236815,22.754271527178595
APOE4,2.5,0.0,25.1,7.2017359018503315,65.9217928610253,2.9805733332349527
APOE4,2.5,10.0,27.9,11.397148766248511,201.8286980169583,8.62167506244187
APOE4,2.5,20.0,25.139999999999997,9.413447827443461,28.053334643127336,2.018119827756874
APOE4,2.5,30.0,36.96,6.6905156751927555,766.9667694524876,44.469844861384175
APOE4,2.5,40.0,29.619999999999997,6.450348827776682,260.65640824568,10.542929419052387
APOE4,5.0,0.0,28.04,8.04443907304916,183.42427635644887,11.802664624148314
APOE4,5.0,10.0,18.2,6.682439674250715,262.9004214172199,8.677083200600881
APOE4,5.0,20.0,24.54,14.2934600429707,301.8184524630572,12.532532120368643
APOE4,5.0,30.0,31.119999999999997,8.10228362870617,242.16082642769334,10.091130907623029
APOE4,5.0,40.0,26.28,11.041150302391502,2129.972257469576,19.02821514455857
APOE4,7.5,0.0,18.54,15.487833935060126,318.29553418590206,22.703558888475715
APOE4,7.5,10.0,31.72,8.62594922312901,440.78334766739624,33.48201767896328
APOE4,7.5,20.0,36.36,8.844376744576183,421.65611646404284,14.152758961537776
APOE4,7.5,30.0,27.0,15.57658499158272,2896.0378331273832,26.197629234041603
APOE4,7.5,40.0,17.98,10.749279045591848,64.58275974638246,3.58988906630245
APOE4,10.0,0.0,26.439999999999998,12.13746266729583,399.2348336043998,17.694698130224296
APOE4,10.0,10.0,26.059999999999995,13.532479447610475,281.5647837428585,11.376276950270581
APOE4,10.0,20.0,21.580000000000002,9.88873096003729,163.57923041241014,10.209000920064403
APOE4,10.0,30.0,26.18,6.648082430295219,181.3928600458348,8.178516495466592
APOE4,10.0,40.0,21.240000000000002,12.494318708917268,162.89452185722365,6.6773990198594735
