Run_ID,Genotype,Lecanemab_mg_kg,Cromolyn_mg_kg,Replicate,Final_Atrophy_Percent,Final_Total_Amyloid,Final_Total_Cytokine
1,APOE3,0.0,0.0,1,15.7,31.537399104178363,1.3682258883907584e-41
2,APOE3,0.0,0.0,2,4.8,27.32297940579005,0.0
3,APOE3,0.0,0.0,3,5.2,29.976761332303713,0.0
4,APOE3,0.0,0.0,4,9.6,27.20021162965468,0.0
5,APOE3,0.0,0.0,5,5.1,29.31597292625196,1.6460539481734178e-24
6,APOE3,0.0,10.0,1,6.1,28.02131717852426,0.0
7,APOE3,0.0,10.0,2,7.5,29.610392037192746,0.0
8,APOE3,0.0,10.0,3,4.3,28.51036551298449,0.0
9,APOE3,0.0,10.0,4,4.8,28.504652465308396,0.0
10,APOE3,0.0,10.0,5,4.6,30.421415220540755,0.0
11,APOE3,0.0,20.0,1,23.1,27.87240461350853,0.0
12,APOE3,0.0,20.0,2,6.5,29.31053951884895,0.0
13,APOE3,0.0,20.0,3,12.5,28.4535017943919,0.0
14,APOE3,0.0,20.0,4,5.800000000000001,27.119214903449738,0.0
15,APOE3,0.0,20.0,5,7.000000000000001,30.911440975362467,0.0
16,APOE3,0.0,30.0,1,4.5,31.75622192715557,0.0
17,APOE3,0.0,30.0,2,4.8,27.53573398541646,0.0
18,APOE3,0.0,30.0,3,6.800000000000001,29.48601019861917,0.0
19,APOE3,0.0,30.0,4,10.9,29.500796139869845,0.0
20,APOE3,0.0,30.0,5,4.6,28.424435787223658,0.0
21,APOE3,0.0,40.0,1,5.4,30.331509212525802,0.0
22,APOE3,0.0,40.0,2,11.0,29.762488284776694,0.0
23,APOE3,0.0,40.0,3,9.5,29.604442397820883,0.0
24,APOE3,0.0,40.0,4,7.000000000000001,29.113809096484946,0.0
25,APOE3,0.0,40.0,5,11.0,29.55519798824813,0.0
26,APOE3,2.5,0.0,1,6.3,28.214250530692546,1.6590891192662032
27,APOE3,2.5,0.0,2,5.5,29.739605985976432,1.6776727386094947
28,APOE3,2.5,0.0,3,14.299999999999999,32.093452832836974,1.6496712647312164
29,APOE3,2.5,0.0,4,2.1999999999999997,29.746324711767446,1.7213903434056472
30,APOE3,2.5,0.0,5,5.4,26.930594137676238,1.7198976513902942
31,APOE3,2.5,10.0,1,10.100000000000001,28.849668478612237,1.6057788194134293
32,APOE3,2.5,10.0,2,4.5,30.00006815917662,1.5952325177877036
33,APOE3,2.5,10.0,3,5.6000000000000005,29.367748011507388,1.6288011300184024
34,APOE3,2.5,10.0,4,9.0,31.060163289794716,1.7394307147693535
35,APOE3,2.5,10.0,5,6.0,27.8577467985005,1.6437336584801545
36,APOE3,2.5,20.0,1,6.1,27.99354357778878,1.6921632277580592
37,APOE3,2.5,20.0,2,4.6,29.38226469791926,1.663306403820267
38,APOE3,2.5,20.0,3,4.3999999999999995,27.76054366341009,1.6786451705847178
39,APOE3,2.5,20.0,4,14.6,28.870224583753604,1.6810179257372253
40,APOE3,2.5,20.0,5,5.3,28.292136502913213,1.7264529966689077
41,APOE3,2.5,30.0,1,8.5,29.572592079044107,1.6457758643187628
42,APOE3,2.5,30.0,2,3.5999999999999996,28.74271084377078,1.6840970087517055
43,APOE3,2.5,30.0,3,3.8,28.847106276304167,1.611694883961192
44,APOE3,2.5,30.0,4,4.9,27.63846723209061,1.7304385049371918
45,APOE3,2.5,30.0,5,7.199999999999999,28.366612784543815,1.6645258442393227
46,APOE3,2.5,40.0,1,13.100000000000001,26.927688123778765,1.7230444208258877
47,APOE3,2.5,40.0,2,5.8999999999999995,28.679471862347732,1.7043501453554724
48,APOE3,2.5,40.0,3,5.4,28.699544464585422,1.7394467283784507
49,APOE3,2.5,40.0,4,11.600000000000001,28.273041921870508,1.689622381854761
