Genotype,Lecanemab_mg_kg,Cromolyn_mg_kg,Replicate,Final_Atrophy_Percent
APOE 3/4,0.0,0.0,1,11.3
APOE 3/4,0.0,0.0,2,6.8
APOE 3/4,0.0,0.0,3,12.0
APOE 3/4,0.0,0.0,4,15.2
APOE 3/4,0.0,0.0,5,9.4
APOE 3/4,0.0,10.0,1,9.1
APOE 3/4,0.0,10.0,2,13.9
APOE 3/4,0.0,10.0,3,12.6
APOE 3/4,0.0,10.0,4,13.2
APOE 3/4,0.0,10.0,5,9.8
APOE 3/4,0.0,20.0,1,13.0
APOE 3/4,0.0,20.0,2,5.9
APOE 3/4,0.0,20.0,3,8.2
APOE 3/4,0.0,20.0,4,18.0
APOE 3/4,0.0,20.0,5,14.0
APOE 3/4,0.0,30.0,1,9.4
APOE 3/4,0.0,30.0,2,6.7
APOE 3/4,0.0,30.0,3,8.8
APOE 3/4,0.0,30.0,4,20.0
APOE 3/4,0.0,30.0,5,10.3
APOE 3/4,0.0,40.0,1,9.5
APOE 3/4,0.0,40.0,2,17.1
APOE 3/4,0.0,40.0,3,27.7
APOE 3/4,0.0,40.0,4,13.6
APOE 3/4,0.0,40.0,5,6.5
APOE 3/4,2.5,0.0,1,6.8
APOE 3/4,2.5,0.0,2,7.2
APOE 3/4,2.5,0.0,3,21.4
APOE 3/4,2.5,0.0,4,6.4
APOE 3/4,2.5,0.0,5,16.0
APOE 3/4,2.5,10.0,1,9.7
APOE 3/4,2.5,10.0,2,7.8
APOE 3/4,2.5,10.0,3,8.0
APOE 3/4,2.5,10.0,4,10.8
APOE 3/4,2.5,10.0,5,8.8
APOE 3/4,2.5,20.0,1,15.6
APOE 3/4,2.5,20.0,2,25.5
APOE 3/4,2.5,20.0,3,6.1
APOE 3/4,2.5,20.0,4,6.6
APOE 3/4,2.5,20.0,5,10.4
APOE 3/4,2.5,30.0,1,9.0
APOE 3/4,2.5,30.0,2,7.3
APOE 3/4,2.5,30.0,3,6.5
APOE 3/4,2.5,30.0,4,8.7
APOE 3/4,2.5,30.0,5,14.0
APOE 3/4,2.5,40.0,1,10.4
APOE 3/4,2.5,40.0,2,12.3
APOE 3/4,2.5,40.0,3,8.6
APOE 3/4,2.5,40.0,4,11.1
APOE 3/4,2.5,40.0,5,5.8
APOE 3/4,5.0,0.0,1,6.7
APOE 3/4,5.0,0.0,2,10.0
APOE 3/4,5.0,0.0,3,27.4
APOE 3/4,5.0,0.0,4,7.6
APOE 3/4,5.0,0.0,5,11.7
APOE 3/4,5.0,10.0,1,11.4
APOE 3/4,5.0,10.0,2,29.3
APOE 3/4,5.0,10.0,3,7.9
APOE 3/4,5.0,10.0,4,6.0
APOE 3/4,5.0,10.0,5,14.4
APOE 3/4,5.0,20.0,1,11.6
APOE 3/4,5.0,20.0,2,7.2
APOE 3/4,5.0,20.0,3,18.6
APOE 3/4,5.0,20.0,4,7.8
APOE 3/4,5.0,20.0,5,5.7
APOE 3/4,5.0,30.0,1,4.7
APOE 3/4,5.0,30.0,2,11.7
APOE 3/4,5.0,30.0,3,5.4
APOE 3/4,5.0,30.0,4,14.8
APOE 3/4,5.0,30.0,5,12.6
APOE 3/4,5.0,40.0,1,11.0
APOE 3/4,5.0,40.0,2,17.0
APOE 3/4,5.0,40.0,3,16.2
APOE 3/4,5.0,40.0,4,15.0
APOE 3/4,5.0,40.0,5,14.1
APOE 3/4,7.5,0.0,1,13.9
APOE 3/4,7.5,0.0,2,38.5
APOE 3/4,7.5,0.0,3,6.1
APOE 3/4,7.5,0.0,4,10.8
APOE 3/4,7.5,0.0,5,15.7
APOE 3/4,7.5,10.0,1,11.8
APOE 3/4,7.5,10.0,2,24.3
APOE 3/4,7.5,10.0,3,9.3
APOE 3/4,7.5,10.0,4,9.5
APOE 3/4,7.5,10.0,5,6.4
APOE 3/4,7.5,20.0,1,7.7
APOE 3/4,7.5,20.0,2,6.4
APOE 3/4,7.5,20.0,3,7.2
APOE 3/4,7.5,20.0,4,11.2
APOE 3/4,7.5,20.0,5,12.3
APOE 3/4,7.5,30.0,1,10.8
APOE 3/4,7.5,30.0,2,15.8
APOE 3/4,7.5,30.0,3,8.9
APOE 3/4,7.5,30.0,4,11.5
APOE 3/4,7.5,30.0,5,28.5
APOE 3/4,7.5,40.0,1,6.3
APOE 3/4,7.5,40.0,2,9.8
APOE 3/4,7.5,40.0,3,9.0
APOE 3/4,7.5,40.0,4,9.4
APOE 3/4,7.5,40.0,5,8.6
APOE 3/4,10.0,0.0,1,7.2
APOE 3/4,10.0,0.0,2,29.4
APOE 3/4,10.0,0.0,3,7.7
APOE 3/4,10.0,0.0,4,23.4
APOE 3/4,10.0,0.0,5,25.0
APOE 3/4,10.0,10.0,1,4.9
APOE 3/4,10.0,10.0,2,8.7
APOE 3/4,10.0,10.0,3,10.9
APOE 3/4,10.0,10.0,4,22.7
APOE 3/4,10.0,10.0,5,5.9
APOE 3/4,10.0,20.0,1,9.1
APOE 3/4,10.0,20.0,2,10.1
APOE 3/4,10.0,20.0,3,11.1
APOE 3/4,10.0,20.0,4,13.7
APOE 3/4,10.0,20.0,5,12.4
APOE 3/4,10.0,30.0,1,10.1
APOE 3/4,10.0,30.0,2,7.2
APOE 3/4,10.0,30.0,3,6.8
APOE 3/4,10.0,30.0,4,16.1
APOE 3/4,10.0,30.0,5,9.5
APOE 3/4,10.0,40.0,1,22.8
APOE 3/4,10.0,40.0,2,8.9
APOE 3/4,10.0,40.0,3,10.4
APOE 3/4,10.0,40.0,4,6.7
APOE 3/4,10.0,40.0,5,8.8
